reaction_id,pred_solvents,pred_temp_bin,pred_time_bin,pred_catalyst_present
RXNTEST_a3e47510a728,C1CCOC1|C(Cl)Cl|ClCCl,room,long,0
RXNTEST_9ee0ae1d1384,NONE,room,long,0
RXNTEST_fe4b7dfb6c38,CN(C)C=O,room,overnight,0
RXNTEST_b41cd98477df,NONE,hot,short,1
RXNTEST_7686e819b64c,CN(C)C=O|C(Cl)Cl|ClCCl,room,long,0
RXNTEST_869b3c2f73e9,NONE,room,short,0
RXNTEST_910982790073,NONE,room,long,0
RXNTEST_f940e7b0452f,NONE,room,short,0
RXNTEST_e21777fc7859,NONE,hot,medium,1
RXNTEST_92d71c021dcc,NONE,hot,long,0
RXNTEST_d23ecc953726,C1CCOC1|O1CCCC1,cryogenic,short,0
RXNTEST_e83656b07b1d,C1(=CC=CC=C1)C|O1CCOCC1,hot,short,1
RXNTEST_6f21e30a16ac,NONE,room,medium,0
RXNTEST_3f1441b9cccc,NONE,room,short,0
RXNTEST_c35fdadacfe8,CN(C)C=O|CN(C=O)C,warm,very_long,0
RXNTEST_464ffc255db7,NONE,room,short,1
RXNTEST_53d696e9f08d,NONE,hot,very_short,0
RXNTEST_4decc8837faf,C1CCOC1|CN(C)C=O|C(Cl)Cl|ClCCl|CN(C=O)C,room,medium,0
RXNTEST_0330af2cfdbf,CN(C)C=O|O|O1CCOCC1,hot,overnight,1
RXNTEST_38cc680c3110,C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_1fe09a012e95,NONE,room,medium,0
RXNTEST_750c58b9ba7f,NONE,hot,overnight,1
RXNTEST_d068397090cd,C1CCOC1,room,overnight,0
RXNTEST_a1a31980f7ff,CO,room,short,0
RXNTEST_80c70071417c,NONE,room,overnight,0
RXNTEST_7053a7ac5497,O1CCOCC1,hot,medium,1
RXNTEST_381b13c6c670,CO,room,short,1
RXNTEST_3b05de3f5e7b,CN(C)C=O,room,long,0
RXNTEST_720ac86a14ad,NONE,cold,medium,0
RXNTEST_06d0967be1c1,NONE,warm,very_long,0
RXNTEST_bd18c2da6d79,NONE,cold,medium,0
RXNTEST_dd65ae94656c,NONE,warm,short,1
RXNTEST_2dca760ae60b,C1CCOC1,cryogenic,short,0
RXNTEST_8032c851c3d7,NONE,room,medium,0
RXNTEST_df4af350cdda,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_59b1a7297022,NONE,warm,very_long,0
RXNTEST_b5a75b493202,O,warm,very_long,0
RXNTEST_b0355a7765ec,CN(C)C=O,room,long,0
RXNTEST_93bc44521717,C1CCOC1|C(Cl)Cl|ClCCl,room,long,1
RXNTEST_caa0a1df8f7f,NONE,hot,long,0
RXNTEST_4e366994112b,CN(C)C=O,warm,long,0
RXNTEST_11bcfb74d5ec,NONE,hot,medium,1
RXNTEST_eb9fa07f948a,NONE,room,short,0
RXNTEST_804ba41a5fce,O|O1CCOCC1,hot,very_short,1
RXNTEST_2b614cf090c8,C1CCOC1|CN(C)C=O,room,short,0
RXNTEST_f46437a04c07,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_ae5dea13e2f9,NONE,hot,overnight,0
RXNTEST_660ef32725ee,NONE,room,short,0
RXNTEST_cd5bdbdf9766,NONE,room,long,0
RXNTEST_309b60af3a07,C1CCOC1|O1CCCC1,cryogenic,short,0
RXNTEST_c47f8b2c96cc,O1CCOCC1,hot,long,1
RXNTEST_ac1243b5aac6,NONE,room,very_long,0
RXNTEST_9f3d86cc48e7,NONE,warm,very_long,0
RXNTEST_fee2c3407ed8,NONE,hot,very_short,1
RXNTEST_95b75490b6cb,NONE,hot,medium,0
RXNTEST_0ee6469550cd,NONE,room,long,0
RXNTEST_bdd4acdfde8d,NONE,room,medium,1
RXNTEST_d6f1f7f93ce9,NONE,hot,long,1
RXNTEST_12ff73ac815d,C1CCOC1|C(Cl)Cl|ClCCl|O1CCCC1,cold,overnight,0
RXNTEST_a0df251dc880,NONE,hot,medium,0
RXNTEST_4d5479d66aad,C1CCOC1|O1CCCC1,room,short,0
RXNTEST_9cf4f13e050b,C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_50f257498a40,NONE,hot,long,0
RXNTEST_0a3eb30bfe0c,NONE,room,short,0
RXNTEST_499b39043184,CN(C)C=O,hot,short,0
RXNTEST_8b789c44e98b,CN(C)C=O,hot,short,0
RXNTEST_b3b143713a23,NONE,room,long,0
RXNTEST_2598770cc0de,O1CCOCC1,hot,long,1
RXNTEST_d26514b285a1,NONE,hot,short,0
RXNTEST_5e49be121d7b,C(Cl)Cl,room,long,0
RXNTEST_9ce1ff56a6b9,CN(C)C=O,room,overnight,0
RXNTEST_8f5aa3d4134c,NONE,warm,medium,0
RXNTEST_d772c55a9c42,C1CCOC1|CN(C)C=O|C(Cl)Cl,room,short,0
RXNTEST_dc056f9352de,C1(=CC=CC=C1)C|O1CCOCC1,hot,overnight,1
RXNTEST_6722d211a287,O1CCOCC1,hot,short,1
RXNTEST_76a828310439,CO,warm,short,0
RXNTEST_39993431cb3e,NONE,room,long,0
RXNTEST_2258591e1a0b,NONE,hot,medium,0
RXNTEST_65c01558e1a9,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_1d819c212e87,C(Cl)Cl|CO,room,short,1
RXNTEST_4a4fa01da763,C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_3d695077791c,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_ea20c7328b66,NONE,warm,short,1
RXNTEST_056aaeef39de,NONE,room,long,0
RXNTEST_04b6c9d9a216,CN(C)C=O|CN(C=O)C,room,overnight,0
RXNTEST_2bd0ae7dc402,NONE,room,long,0
RXNTEST_a781dff4b45d,C1CCOC1|O1CCCC1,cryogenic,short,0
RXNTEST_408b79326e0a,C1CCOC1|C(Cl)Cl|ClCCl,room,short,0
RXNTEST_80da49aff3d1,NONE,warm,long,0
RXNTEST_c981c3e2d99e,O1CCOCC1,hot,short,1
RXNTEST_f269302a8ff8,NONE,room,overnight,0
RXNTEST_1068e28ec6b6,O1CCOCC1,warm,short,1
RXNTEST_a8af0e55ef16,NONE,room,short,0
RXNTEST_b2f45a5565e9,NONE,warm,medium,1
RXNTEST_697c26b0a39e,NONE,room,long,0
RXNTEST_5a140358b305,CN(C)C=O|C1(=CC=CC=C1)C|O1CCOCC1,hot,short,1
RXNTEST_8b1be4ab2539,NONE,hot,medium,1
RXNTEST_c957be113345,NONE,room,medium,1
RXNTEST_f40aebd262cb,NONE,hot,long,0
RXNTEST_39a4464ace36,CN(C)C=O|C(Cl)Cl,room,short,0
RXNTEST_ede9068172b5,O1CCOCC1,hot,short,1
RXNTEST_676e7206c665,O|C1(=CC=CC=C1)C|O1CCOCC1,hot,short,1
RXNTEST_8beb3a6480ac,O|O1CCOCC1,hot,long,1
RXNTEST_72dd82db7381,CN(C)C=O|C(Cl)Cl|ClCCl,room,long,0
RXNTEST_4817d70d5d1c,NONE,warm,medium,1
RXNTEST_d0a04caaf0d0,C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_429b38fbf0b7,CN(C)C=O,room,long,0
RXNTEST_819a78bbd407,NONE,room,very_long,0
RXNTEST_d52a4a0cb654,O|O1CCOCC1,warm,medium,1
RXNTEST_a786032de049,NONE,warm,medium,0
RXNTEST_19bcb1a9518e,O1CCOCC1,hot,short,1
RXNTEST_0763c606daf8,NONE,room,short,1
RXNTEST_87d3d8df5cd1,CN(C)C=O|C(Cl)Cl|CN(C=O)C,room,long,0
RXNTEST_6b9814e80d99,C(Cl)Cl,room,long,0
RXNTEST_e7cf308f559f,CN(C)C=O,hot,overnight,0
RXNTEST_674032011990,NONE,room,medium,0
RXNTEST_92452e8ff851,NONE,hot,short,0
RXNTEST_7fe994c602f5,CN(C)C=O,warm,overnight,0
RXNTEST_21dca74dd91e,C(Cl)Cl,room,short,1
RXNTEST_7d5c88be7aaa,NONE,hot,overnight,0
RXNTEST_ca812f1bd57f,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_094aec21e442,C1CCOC1,cold,short,0
RXNTEST_ed3ef085be37,NONE,hot,medium,1
RXNTEST_a176a34379f1,O,room,medium,1
RXNTEST_3de6a54fc5e3,O|O1CCOCC1,hot,short,1
RXNTEST_defd011b6fce,NONE,warm,medium,0
RXNTEST_e4b802dc1a5d,CO,room,short,0
RXNTEST_c296cfab6047,NONE,room,long,0
RXNTEST_2c7e20fecef2,NONE,hot,long,1
RXNTEST_92a178a0620a,NONE,room,short,0
RXNTEST_35930aee8012,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_92ee6f340215,NONE,hot,short,0
RXNTEST_eb02317c3c35,NONE,hot,medium,0
RXNTEST_60c1c329d54f,NONE,hot,medium,0
RXNTEST_b9ad00f6c3b3,NONE,cold,short,0
RXNTEST_6911f0173adb,NONE,room,medium,0
RXNTEST_d2c96a8823be,C1(=CC=CC=C1)C,hot,long,1
RXNTEST_efc55e3e9134,NONE,warm,very_long,0
RXNTEST_f54652411108,NONE,hot,short,0
RXNTEST_e0a66d049fe8,NONE,hot,short,1
RXNTEST_6e67d041922b,NONE,hot,long,0
RXNTEST_2ee99fc212d9,CN(C)C=O,room,long,0
RXNTEST_83eaff44174b,CN(C)C=O|CN(C=O)C,room,long,0
RXNTEST_0a1070b9d987,NONE,warm,medium,1
RXNTEST_9f89c35e7ed4,O|C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_7ce3a10526f0,NONE,room,short,1
RXNTEST_eb1aeff293d4,C(Cl)Cl|ClCCl,cold,short,0
RXNTEST_65beef1b7ef8,O1CCOCC1,hot,long,1
RXNTEST_9f2925cc101d,O|C(C)O,hot,medium,1
RXNTEST_d837e11ec786,NONE,warm,very_long,0
RXNTEST_163f1ad5ca8f,CN(C)C=O,warm,overnight,0
RXNTEST_84936b27ccd1,NONE,room,long,0
RXNTEST_ed0bfec5ce6c,CN(C)C=O,hot,overnight,0
RXNTEST_8e85e6bb2f9b,NONE,room,long,0
RXNTEST_245eada0b19a,CN(C)C=O|C(Cl)Cl,room,long,0
RXNTEST_1669d25722cb,NONE,hot,long,1
RXNTEST_18dbf76d57dc,CN(C)C=O,room,long,0
RXNTEST_432e60f25521,NONE,hot,medium,1
RXNTEST_8ecb8bc620f5,CO,room,short,1
RXNTEST_abbb8512211b,CN(C)C=O,room,long,0
RXNTEST_b160a4f4a4fa,NONE,room,overnight,0
RXNTEST_b497f1910a8a,CN(C)C=O,room,short,0
RXNTEST_c66fe6d50c4a,NONE,hot,long,0
RXNTEST_0309a80364c8,NONE,hot,overnight,0
RXNTEST_385177cd4b9b,C1CCOC1,room,short,0
RXNTEST_3d441d4096da,C1CCOC1|O1CCCC1,cryogenic,medium,1
RXNTEST_03895dea569f,NONE,room,medium,1
RXNTEST_e9443d640493,CN(C)C=O,warm,overnight,0
RXNTEST_e84efe08aac5,C(Cl)Cl|ClCCl,cold,short,0
RXNTEST_5cfd8b039a39,NONE,room,medium,0
RXNTEST_6b7db5db64d9,C(Cl)Cl|ClCCl,room,short,0
RXNTEST_c1db275159cd,O1CCOCC1,hot,overnight,1
RXNTEST_cddf11f7677c,CN(C)C=O,warm,short,0
RXNTEST_9203d90ce728,C1CCOC1|O1CCCC1,cryogenic,short,0
RXNTEST_dac921b57950,O1CCOCC1,hot,short,1
RXNTEST_45ecdfd8e037,C(Cl)Cl,room,short,0
RXNTEST_9596b99dc68c,NONE,hot,medium,1
RXNTEST_9914045f3d85,NONE,hot,long,1
RXNTEST_eae33a0203d1,C(Cl)Cl,room,short,0
RXNTEST_73153bbf1aa3,NONE,room,short,0
RXNTEST_11b60aac1a0b,C1CCOC1|CN(C)C=O|C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_f80d246a9aa0,NONE,room,short,0
RXNTEST_66694dcf7041,C1(=CC=CC=C1)C|O1CCOCC1,hot,overnight,1
RXNTEST_b3dafed4a069,C1CCOC1,room,overnight,0
RXNTEST_4158df275286,NONE,room,short,0
RXNTEST_ad3766d20e6f,NONE,hot,short,0
RXNTEST_3af2e3e3e065,CN(C)C=O|CN(C=O)C,room,long,0
RXNTEST_bbaa4f19c612,CN(C)C=O,hot,short,0
RXNTEST_18dfe1f08ad7,C(Cl)Cl,room,medium,0
RXNTEST_1e698b069285,NONE,room,overnight,0
RXNTEST_28389b4a9d7e,NONE,cold,short,0
RXNTEST_8f7dbb308367,C1CCOC1|O1CCCC1,cryogenic,short,0
RXNTEST_389336034fb4,C1CCOC1|C(Cl)Cl|O1CCCC1,room,short,0
RXNTEST_534453e5ec17,CN(C)C=O,room,long,0
RXNTEST_876d1cdca5e1,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_f234af9543ba,NONE,room,short,0
RXNTEST_ca35dd58f499,NONE,hot,short,0
RXNTEST_32d2fc25c160,NONE,hot,short,0
RXNTEST_c00a843296d6,NONE,room,long,1
RXNTEST_6347179e68a4,NONE,room,long,0
RXNTEST_6fadc78774a8,C(Cl)Cl,room,overnight,0
RXNTEST_5cefd878a767,NONE,hot,short,1
RXNTEST_3bfede3883fc,CN(C)C=O,hot,short,0
RXNTEST_0b08b76a17e5,NONE,hot,long,0
RXNTEST_6226a1265ccd,C(Cl)Cl|ClCCl,cold,short,0
RXNTEST_100aa2c75ab3,NONE,room,short,0
RXNTEST_c01603a19333,O|C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_9f4d3ebe98ba,NONE,room,short,0
RXNTEST_64099b6af784,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_80d73b4872ca,NONE,room,short,0
RXNTEST_6a4c2faa12f1,CO|O,room,long,0
RXNTEST_65adf3ed17d6,O1CCOCC1,hot,very_short,1
RXNTEST_76bcf87d24c0,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_5099b6f4cbb4,NONE,room,overnight,0
RXNTEST_a703f681bff6,NONE,room,long,0
RXNTEST_ddc5e3343e4a,C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_5ae0e59498c6,O1CCOCC1,hot,short,1
RXNTEST_459288de057b,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_704c751bd15f,NONE,room,short,1
RXNTEST_c26a59570e32,C1CCOC1|C(Cl)Cl,room,short,0
RXNTEST_d7b7c4d943d6,NONE,room,short,0
RXNTEST_5acdf11f5629,C1CCOC1|O1CCCC1,cryogenic,short,0
RXNTEST_5c77fc02a042,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_af5c0defc2e3,C1(=CC=CC=C1)C|O1CCOCC1,hot,short,1
RXNTEST_a307f42d09f2,NONE,hot,overnight,0
RXNTEST_3175b8942a00,NONE,cold,short,0
RXNTEST_a0aabeb8cf73,CN(C)C=O,hot,medium,0
RXNTEST_87f97e3a2db7,NONE,hot,short,1
RXNTEST_c4192f5e780e,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_4d9327f62fae,NONE,room,short,0
RXNTEST_046db945d79e,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_8ce36aca9702,NONE,room,long,0
RXNTEST_fcfc21ccdd7b,NONE,hot,long,1
RXNTEST_8af322048c48,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_7c9644ae14ea,NONE,room,medium,0
RXNTEST_b4d700294a41,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_5a386da53080,CN(C)C=O,warm,long,0
RXNTEST_7d555853dd53,CN(C)C=O|C(Cl)Cl,room,long,0
RXNTEST_8bdd60838436,C1CCOC1|ClCCl|O1CCCC1,cryogenic,short,0
RXNTEST_c237ffe1173c,NONE,hot,medium,0
RXNTEST_55c130b03046,NONE,warm,short,0
RXNTEST_32d56937b60f,CN(C)C=O|C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_b1a4b78f348a,NONE,hot,medium,1
RXNTEST_afe17cd02da6,NONE,hot,short,0
RXNTEST_d385e9e1d98e,NONE,room,long,0
RXNTEST_081744479c14,NONE,hot,short,1
RXNTEST_7b0329ed9f0b,O1CCOCC1,hot,overnight,1
RXNTEST_444c18c81473,C1CCOC1,room,medium,0
RXNTEST_f5a1f9062536,CN(C)C=O,room,overnight,0
RXNTEST_0f67d7bca736,CN(C)C=O,room,long,0
RXNTEST_db7048d7fddc,NONE,hot,very_short,0
RXNTEST_416444de1188,NONE,room,very_long,1
RXNTEST_6ae226f62a8d,C1(=CC=CC=C1)C|O1CCOCC1,hot,short,1
RXNTEST_c4c968eee5c4,NONE,hot,short,0
RXNTEST_58eab4ec0e15,NONE,cold,short,0
RXNTEST_52f476e5891d,C1CCOC1|C(Cl)Cl,room,short,0
RXNTEST_c295e8d7733a,NONE,room,short,1
RXNTEST_6081e434ee84,C1CCOC1|C(Cl)Cl|ClCCl,room,short,0
RXNTEST_cb296023bb98,NONE,room,short,0
RXNTEST_2ede59577975,CN(C)C=O,room,long,0
RXNTEST_32d197fa727c,C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_b2581fabf1eb,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_1ddabd648a6b,C1CCOC1|CO|O,warm,long,0
RXNTEST_832e1d439b11,NONE,room,overnight,0
RXNTEST_cabf30625ce2,C(Cl)Cl|ClCCl,cold,short,0
RXNTEST_3ca8f3f67844,CN(C)C=O|C(Cl)Cl|ClCCl,room,overnight,0
RXNTEST_e4ddfc5d0d9c,C1CCOC1|O1CCCC1,cold,short,0
RXNTEST_216f854815e9,C(Cl)Cl|ClCCl,cold,short,0
RXNTEST_3fefdf253c46,NONE,hot,long,1
RXNTEST_81f07cc9a207,O1CCOCC1,hot,short,1
RXNTEST_e778bec06c55,C1CCOC1|O1CCCC1,cryogenic,short,0
RXNTEST_63630f3b87a7,CN(C)C=O,hot,overnight,0
RXNTEST_099a361f2f16,C1CCOC1|CN(C)C=O,room,long,0
RXNTEST_1bfdbd4c1d8b,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,0
RXNTEST_3f35d7d18c7a,NONE,room,short,0
RXNTEST_1e5d4aa1b1eb,CN(C)C=O,warm,very_long,0
RXNTEST_cadba0a4cf3e,NONE,warm,medium,1
RXNTEST_2e2479621af6,NONE,room,medium,0
RXNTEST_a2746b3121ac,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_5123dadb887a,C(Cl)Cl|ClCCl,room,short,0
RXNTEST_84431fa657b0,NONE,warm,long,0
RXNTEST_e51dc72f7d9d,CN(C)C=O,room,overnight,0
RXNTEST_c3b0475c2d14,O1CCOCC1,hot,long,1
RXNTEST_2346e21675f2,C1CCOC1,room,overnight,0
RXNTEST_685c01b47b7b,O,room,short,0
RXNTEST_4916db8b736d,NONE,room,long,0
RXNTEST_d99172b993a9,NONE,room,long,0
RXNTEST_2f094acfe779,C1CCOC1|C(Cl)Cl|ClCCl,room,short,0
RXNTEST_33c50cecabea,C(Cl)Cl|ClCCl,room,medium,1
RXNTEST_4de1e85e3b8f,C1CCOC1,cryogenic,short,0
RXNTEST_4de0be7bb577,NONE,hot,overnight,0
RXNTEST_96d78def6bcd,C(Cl)Cl|ClCCl,room,long,1
RXNTEST_dfb39185f73f,NONE,warm,very_short,0
RXNTEST_828cd749962c,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_43421fd386a2,NONE,room,short,0
RXNTEST_cb82da7929b3,C(Cl)Cl|ClCCl,cold,long,0
RXNTEST_f1cc66ed8886,CN(C)C=O,room,long,0
RXNTEST_df8ba23b3dea,NONE,hot,medium,0
RXNTEST_fda22fcba1e7,CN(C)C=O|O|O1CCOCC1,hot,long,0
RXNTEST_389fcfe2ee84,NONE,hot,overnight,0
RXNTEST_a0bb384206bf,C1CCOC1,room,long,0
RXNTEST_9b00bed51326,C(Cl)Cl,room,long,0
RXNTEST_f649d0c29ec4,NONE,hot,overnight,0
RXNTEST_985c31d25582,O1CCOCC1,warm,long,1
RXNTEST_410e6713f328,NONE,room,overnight,1
RXNTEST_dc869d6e5ea4,CO|O,room,medium,0
RXNTEST_3584d41144e3,CN(C)C=O,warm,short,0
RXNTEST_ee9b65afae1e,NONE,room,medium,0
RXNTEST_a38703bb1fda,NONE,hot,medium,0
RXNTEST_4609b9f4cede,CN(C)C=O|O|O1CCOCC1,hot,overnight,1
RXNTEST_9a1ddddab8da,C1(=CC=CC=C1)C|O1CCOCC1,hot,very_short,1
RXNTEST_242fa8bbb4de,NONE,warm,medium,0
RXNTEST_d3b964b432ed,NONE,room,short,1
RXNTEST_4d51885876ca,CN(C)C=O,warm,overnight,0
RXNTEST_0f32eaa1f052,NONE,room,short,0
RXNTEST_dd6066d82009,O|C1(=CC=CC=C1)C|O1CCOCC1,hot,medium,1
RXNTEST_52d25d8178ca,NONE,room,overnight,0
RXNTEST_29acc2148682,NONE,room,long,1
RXNTEST_ec48b77c1d61,O1CCOCC1,hot,very_short,1
RXNTEST_eac92d496116,NONE,hot,long,0
RXNTEST_651e65b2b351,O1CCOCC1,hot,overnight,1
RXNTEST_a09b230669be,C(Cl)Cl,room,long,0
RXNTEST_5c014706b91c,CO,room,short,1
RXNTEST_c3e6086a9b80,NONE,room,short,0
RXNTEST_cd8c8d74138e,C1CCOC1|O1CCCC1,room,short,0
RXNTEST_1f11bfc05231,CN(C)C=O|CN(C=O)C,room,long,0
RXNTEST_6040f09a7803,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_c0841c51677b,C(Cl)Cl,room,short,0
RXNTEST_533a0e945a3e,NONE,cold,long,0
RXNTEST_996382f2f367,CN(C)C=O|C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_400a86a8f0e6,CN(C)C=O|C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_45fb2e1b584a,NONE,hot,short,1
RXNTEST_0f897a0a6c01,CN(C)C=O,room,overnight,0
RXNTEST_d65941146292,O1CCOCC1,room,short,1
RXNTEST_edd8cb9ddfe9,NONE,hot,medium,0
RXNTEST_0d7a616e25be,CO,room,short,0
RXNTEST_a7339dd10afc,NONE,warm,long,0
RXNTEST_fc73ffa4d2ff,CN(C)C=O,room,long,0
RXNTEST_835d8eff648b,NONE,hot,short,1
RXNTEST_3526fc99e844,NONE,room,very_short,1
RXNTEST_387c36c5e8f6,C(Cl)Cl,room,short,0
RXNTEST_eee06b158794,C1CCOC1|C(Cl)Cl|ClCCl|O1CCCC1,room,short,0
RXNTEST_3701c9eb77fe,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_f147b1421d4a,NONE,room,short,0
RXNTEST_ec33f70378c2,NONE,hot,short,0
RXNTEST_18203fe91f65,C(Cl)Cl,room,short,0
RXNTEST_7ab81baaaa03,CN(C)C=O,hot,short,0
RXNTEST_4b4a08a8917b,NONE,room,long,0
RXNTEST_6b97db9ba250,C(Cl)Cl,cold,medium,0
RXNTEST_cb6b3d5a46b2,NONE,room,short,0
RXNTEST_1068ff33473a,NONE,room,long,0
RXNTEST_e86e6303672c,CN(C)C=O,hot,overnight,0
RXNTEST_fc15d6364444,CN(C)C=O,hot,medium,0
RXNTEST_d5e4fea07cb7,CN(C)C=O,room,long,1
RXNTEST_637362c52f96,C1CCOC1|O1CCCC1,cold,short,0
RXNTEST_f13221ebc0fd,CN(C)C=O|C(Cl)Cl|ClCCl|CN(C=O)C,room,long,0
RXNTEST_4bb27f7c6717,CO|O,warm,long,0
RXNTEST_264cbebc414d,NONE,room,long,1
RXNTEST_b9f257ac2817,C1CCOC1|O1CCCC1,cold,short,0
RXNTEST_217804cea820,C(Cl)Cl,room,long,0
RXNTEST_66838eebcad6,CO|C(C)O,room,short,1
RXNTEST_797a1292b453,NONE,warm,short,0
RXNTEST_eea9f045b228,NONE,hot,long,0
RXNTEST_52e9f6260c62,C1CCOC1|O1CCCC1,room,short,0
RXNTEST_4bdd99e45cfe,NONE,warm,short,0
RXNTEST_c4222c86e3b8,C1(=CC=CC=C1)C|O1CCOCC1,hot,short,1
RXNTEST_1b99cba19804,C1CCOC1,cryogenic,short,0
RXNTEST_5119913222b7,NONE,room,overnight,0
RXNTEST_1ad7f77cea30,C(Cl)Cl,cold,short,0
RXNTEST_012ac735d34b,O1CCOCC1,hot,long,1
RXNTEST_b0eb5a4c28ba,NONE,hot,long,0
RXNTEST_f48623e76859,CN(C)C=O,hot,long,0
RXNTEST_8d192b69f168,NONE,room,short,0
RXNTEST_47b43a2b6811,NONE,room,medium,0
